division,district,cases,location
Dhaka,Dhaka (District) ,28,
Dhaka,Gazipur ,82,
Dhaka,Kishoreganj ,22,
Dhaka,Madaripur ,23,
Dhaka,Manikganj ,5,
Dhaka,Narayanganj ,255,
Dhaka,Munshigonj ,26,
Dhaka,Narshingdi ,43,
Dhaka,Rajbari ,7,
Dhaka,Faridpur ,2,
Dhaka,Tangail ,9,
Dhaka,Sherpur ,2,
Dhaka,Shariatpur ,6,
Dhaka,Gopalganj ,17,
Chattogram ,Chattogram ,36,
Chattogram ,Cox’s bazar ,1,
Chattogram ,Cumilla ,14,
Chattogram ,B. Baria ,8,
Chattogram ,Laksmipur ,1,
Chattogram ,Noakhali ,2,
Chattogram ,Chandpur ,7,
Sylhet ,Moulovi Bazar ,2,
Sylhet ,Sunamganj ,1,
Sylhet ,Hobiganj ,1,
Sylhet ,Sylhet ,3,
Rangpur ,Rangpur ,3,
Rangpur ,Gaibandha ,13,
Rangpur ,Nilphamari ,6,
Rangpur ,Lalmonirhat ,2,
Rangpur ,Kurigram ,2,
Rangpur ,Dinajpur ,8,
Rangpur ,Thakurgaon ,3,
Khulna ,Khulna ,1,
Khulna ,Narail ,1,
Khulna ,Chuadanga ,1,
Mymensingh ,Mymensingh ,9,
Mymensingh ,Jamalpur ,12,
Mymensingh ,Netrokona ,6,
Mymensingh ,Sherpur ,3,
Barishal ,Barguna ,4,
Barishal ,Barishal ,12,
Barishal ,Potuakhali ,2,
Barishal ,Pirojpur ,4,
Barishal ,Jhalokathi ,3,
Rajshahi ,Rajshahi ,4,
Dhaka,Dhaka City,5,Adabor 
Dhaka,Dhaka City,2,Agargaon 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,11,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,8,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,9,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,17,Basabo 
Dhaka,Dhaka City,5,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,1,Central Road 
Dhaka,Dhaka City,5,Chankharpool 
