division,district,cases,location
Dhaka,Dhaka (District) ,42,
Dhaka,Gazipur ,269,
Dhaka,Kishoreganj ,146,
Dhaka,Madaripur ,25,
Dhaka,Manikganj ,7,
Dhaka,Narayanganj ,387,
Dhaka,Munshigonj ,33,
Dhaka,Narshingdi ,135,
Dhaka,Rajbari ,8,
Dhaka,Faridpur ,6,
Dhaka,Tangail ,10,
Dhaka,Shariatpur ,8,
Dhaka,Gopalganj ,30,
Chattogram ,Chattogram ,43,
Chattogram ,Cox’s bazar ,1,
Chattogram ,Cumilla ,21,
Chattogram ,B. Baria ,11,
Chattogram ,Laksmipur ,25,
Chattogram ,Bandarban ,1,
Chattogram ,Noakhali ,4,
Chattogram ,Feni ,2,
Chattogram ,Chandpur ,10,
Sylhet ,Moulovi Bazar ,2,
Sylhet ,Sunamganj ,1,
Sylhet ,Hobiganj ,1,
Sylhet ,Sylhet ,4,
Rangpur ,Rangpur ,6,
Rangpur ,Gaibandha ,13,
Rangpur ,Nilphamari ,9,
Rangpur ,Lalmonirhat ,2,
Rangpur ,Kurigram ,2,
Rangpur ,Dinajpur ,11,
Rangpur ,Panchagar ,1,
Rangpur ,Thakurgaon ,6,
Khulna ,Khulna ,3,
Khulna ,Jessore ,1,
Khulna ,Bagerhat ,2,
Khulna ,Narail ,2,
Khulna ,Chuadanga ,1,
Mymensingh ,Mymensingh ,33,
Mymensingh ,Jamalpur ,21,
Mymensingh ,Netrokona ,14,
Mymensingh ,Sherpur ,13,
Barishal ,Barguna ,12,
Barishal ,Barishal ,24,
Barishal ,Potuakhali ,2,
Barishal ,Pirojpur ,5,
Barishal ,Jhalokathi ,4,
Rajshahi ,Joypurhat ,2,
Rajshahi ,Pabna ,2,
Rajshahi ,Bogra ,1,
Rajshahi ,Naogaon ,1,
Rajshahi ,Sirajganj ,1,
Rajshahi ,Rajshahi ,5,
Dhaka,Dhaka City,5,Adabor 
Dhaka,Dhaka City,5,Agargaon 
Dhaka,Dhaka City,1,Aminbazar 
Dhaka,Dhaka City,1,Amlapara 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,15,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,9,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,1,Banasree 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,1,Banglamotor 
Dhaka,Dhaka City,31,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,19,Basabo 
Dhaka,Dhaka City,6,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,2,Cantonment 
Dhaka,Dhaka City,1,Central Road 
Dhaka,Dhaka City,8,Chankharpool 
Dhaka,Dhaka City,19,Chawk Bazar 
Dhaka,Dhaka City,1,Dhakkeshori 
Dhaka,Dhaka City,5,Demra 
Dhaka,Dhaka City,23,Dhanmondi 
Dhaka,Dhaka City,2,Dholaikhal 
Dhaka,Dhaka City,2,Doyaganj 
Dhaka,Dhaka City,1,Elephant Road 
Dhaka,Dhaka City,8,Eskaton 
Dhaka,Dhaka City,1,Faridabagh 
Dhaka,Dhaka City,2,Farmgate 
Dhaka,Dhaka City,21,Gendaria 
Dhaka,Dhaka City,1,Golartek 
Dhaka,Dhaka City,2,Goran 
Dhaka,Dhaka City,1,Gonoktuli 
Dhaka,Dhaka City,6,Gopibag 
Dhaka,Dhaka City,10,Green Road 
Dhaka,Dhaka City,4,Gulistan 
Dhaka,Dhaka City,16,Gulshan 
Dhaka,Dhaka City,1,Hatir jhil 
Dhaka,Dhaka City,3,Hatirpool 
Dhaka,Dhaka City,18,Hazaribagh 
Dhaka,Dhaka City,2,Islampur 
Dhaka,Dhaka City,2,Jailgate 
Dhaka,Dhaka City,33,Jatrabari 
Dhaka,Dhaka City,5,Jigatala 
Dhaka,Dhaka City,8,Jurain 
Dhaka,Dhaka City,2,Kallyanpur 
Dhaka,Dhaka City,4,Kalabagan 
Dhaka,Dhaka City,1,Kathalbagan 
Dhaka,Dhaka City,1,Kamalapur 
Dhaka,Dhaka City,4,Kamrangir Char 
Dhaka,Dhaka City,3,Kazi para 
Dhaka,Dhaka City,3,Kawran Bazar 
Dhaka,Dhaka City,1,Kochukhet 
Dhaka,Dhaka City,2,Khilgaon 
Dhaka,Dhaka City,1,Khilkhet 
Dhaka,Dhaka City,1,Koltabazar 
Dhaka,Dhaka City,2,Kodomtoli 
Dhaka,Dhaka City,4,Kotowali 
Dhaka,Dhaka City,1,Kuril 
Dhaka,Dhaka City,31,Lalbagh 
Dhaka,Dhaka City,5,Laxmibazar 
Dhaka,Dhaka City,1,Malitola 
Dhaka,Dhaka City,4,Malibagh 
Dhaka,Dhaka City,2,Maniknagar 
Dhaka,Dhaka City,1,Manikdi 
Dhaka,Dhaka City,3,Matuail 
Dhaka,Dhaka City,2,Mirhajaribagh 
Dhaka,Dhaka City,11,Mirpur-1 
Dhaka,Dhaka City,3,Mirpur-6 
Dhaka,Dhaka City,8,Mirpur-10 
Dhaka,Dhaka City,13,Mirpur-11 
Dhaka,Dhaka City,12,Mirpur-12 
Dhaka,Dhaka City,2,Mirpur-13 
Dhaka,Dhaka City,21,Mirpur-14 
Dhaka,Dhaka City,28,Mitford 
Dhaka,Dhaka City,14,Mogbazar 
Dhaka,Dhaka City,16,Mohakhali 
Dhaka,Dhaka City,1,Mohonpur 
Dhaka,Dhaka City,38,Mohammadpur 
Dhaka,Dhaka City,1,Motijeel 
Dhaka,Dhaka City,6,Mugda 
Dhaka,Dhaka City,1,Nawabpur 
Dhaka,Dhaka City,3,Nawabganj 
Dhaka,Dhaka City,8,Narinda 
Dhaka,Dhaka City,6,Nakhalpara 
Dhaka,Dhaka City,7,Nayabazar 
Dhaka,Dhaka City,4,Neemtoli 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pallabi 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,28,Rajarbagh 
Dhaka,Dhaka City,5,Rampura 
Dhaka,Dhaka City,5,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Raja Bazar 
Dhaka,Dhaka City,2,Rayerbazar 
Dhaka,Dhaka City,3,Sabujbagh 
Dhaka,Dhaka City,2,Sadarghat 
