division,district,cases,location
Dhaka,Dhaka (District) ,52,
Dhaka,Gazipur ,269,
Dhaka,Kishoreganj ,146,
Dhaka,Madaripur ,27,
Dhaka,Manikganj ,9,
Dhaka,Narayanganj ,508,
Dhaka,Munshigonj ,61,
Dhaka,Narshingdi ,136,
Dhaka,Rajbari ,10,
Dhaka,Faridpur ,6,
Dhaka,Tangail ,15,
Dhaka,Shariatpur ,11,
Dhaka,Gopalganj ,35,
Chattogram ,Chattogram ,42,
Chattogram ,Cox’s bazar ,5,
Chattogram ,Cumilla ,27,
Chattogram ,B. Baria ,24,
Chattogram ,Laksmipur ,25,
Chattogram ,Bandarban ,4,
Chattogram ,Noakhali ,4,
Chattogram ,Feni ,3,
Chattogram ,Chandpur ,10,
Sylhet ,Moulovi Bazar ,2,
Sylhet ,Sunamganj ,1,
Sylhet ,Hobiganj ,13,
Sylhet ,Sylhet ,4,
Rangpur ,Rangpur ,9,
Rangpur ,Gaibandha ,13,
Rangpur ,Nilphamari ,10,
Rangpur ,Lalmonirhat ,2,
Rangpur ,Kurigram ,3,
Rangpur ,Dinajpur ,13,
Rangpur ,Panchagar ,2,
Rangpur ,Thakurgaon ,8,
Khulna ,Khulna ,4,
Khulna ,Jessore ,5,
Khulna ,Bagerhat ,1,
Khulna ,Narail ,7,
Khulna ,Magura ,1,
Khulna ,Meherpur ,2,
Khulna ,Kushtia ,2,
Khulna ,Chuadanga ,2,
Mymensingh ,Mymensingh ,63,
Mymensingh ,Jamalpur ,29,
Mymensingh ,Netrokona ,22,
Mymensingh ,Sherpur ,19,
Barishal ,Barguna ,17,
Barishal ,Barishal ,34,
Barishal ,Potuakhali ,10,
Barishal ,Pirojpur ,5,
Barishal ,Jhalokathi ,5,
Rajshahi ,Joypurhat ,4,
Rajshahi ,Pabna ,3,
Rajshahi ,Chapainawabganj ,1,
Rajshahi ,Bogra ,5,
Rajshahi ,Naogaon ,1,
Rajshahi ,Sirajganj ,2,
Rajshahi ,Rajshahi ,9,
Dhaka,Dhaka City,6,Adabor 
Dhaka,Dhaka City,5,Agargaon 
Dhaka,Dhaka City,1,Aminbazar 
Dhaka,Dhaka City,1,Amlapara 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,16,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,9,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,1,Banasree 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,1,Banglamotor 
Dhaka,Dhaka City,34,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,19,Basabo 
Dhaka,Dhaka City,6,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,2,Cantonment 
Dhaka,Dhaka City,1,Central Road 
Dhaka,Dhaka City,8,Chankharpool 
Dhaka,Dhaka City,32,Chawk Bazar 
Dhaka,Dhaka City,1,Dania 
Dhaka,Dhaka City,1,Dhakkeshori 
Dhaka,Dhaka City,6,Demra 
Dhaka,Dhaka City,26,Dhanmondi 
Dhaka,Dhaka City,2,Dholaikhal 
Dhaka,Dhaka City,2,Doyaganj 
Dhaka,Dhaka City,2,Elephant Road 
Dhaka,Dhaka City,8,Eskaton 
Dhaka,Dhaka City,1,Faridabagh 
Dhaka,Dhaka City,1,Fakirapool 
Dhaka,Dhaka City,2,Farmgate 
Dhaka,Dhaka City,22,Gendaria 
Dhaka,Dhaka City,1,Golartek 
Dhaka,Dhaka City,3,Goran 
Dhaka,Dhaka City,3,Gonoktuli 
Dhaka,Dhaka City,6,Gopibag 
Dhaka,Dhaka City,11,Green Road 
Dhaka,Dhaka City,6,Gulistan 
Dhaka,Dhaka City,19,Gulshan 
Dhaka,Dhaka City,1,Hatir jhil 
Dhaka,Dhaka City,3,Hatirpool 
Dhaka,Dhaka City,18,Hazaribagh 
Dhaka,Dhaka City,2,Ibrahimpur 
Dhaka,Dhaka City,2,Islampur 
Dhaka,Dhaka City,2,Jailgate 
Dhaka,Dhaka City,37,Jatrabari 
Dhaka,Dhaka City,6,Jigatala 
Dhaka,Dhaka City,14,Jurain 
Dhaka,Dhaka City,2,Kallyanpur 
Dhaka,Dhaka City,4,Kalabagan 
Dhaka,Dhaka City,2,Kakrail 
Dhaka,Dhaka City,1,Kathalbagan 
Dhaka,Dhaka City,1,Kamalapur 
Dhaka,Dhaka City,5,Kamrangir Char 
Dhaka,Dhaka City,6,Kazi para 
Dhaka,Dhaka City,4,Kawran Bazar 
Dhaka,Dhaka City,1,Koratitola 
Dhaka,Dhaka City,1,Kochukhet 
Dhaka,Dhaka City,5,Khilgaon 
Dhaka,Dhaka City,1,Khilkhet 
Dhaka,Dhaka City,1,Koltabazar 
Dhaka,Dhaka City,2,Kodomtoli 
Dhaka,Dhaka City,7,Kotowali 
Dhaka,Dhaka City,1,Kuril 
Dhaka,Dhaka City,39,Lalbagh 
Dhaka,Dhaka City,5,Laxmibazar 
Dhaka,Dhaka City,1,Madartek 
Dhaka,Dhaka City,1,Malitola 
Dhaka,Dhaka City,7,Malibagh 
Dhaka,Dhaka City,2,Maniknagar 
Dhaka,Dhaka City,1,Manikdi 
Dhaka,Dhaka City,3,Matuail 
Dhaka,Dhaka City,2,Mirhajaribagh 
Dhaka,Dhaka City,13,Mirpur-1 
Dhaka,Dhaka City,1,Mirpur-2 
Dhaka,Dhaka City,4,Mirpur-6 
Dhaka,Dhaka City,8,Mirpur-10 
Dhaka,Dhaka City,16,Mirpur-11 
Dhaka,Dhaka City,12,Mirpur-12 
Dhaka,Dhaka City,2,Mirpur-13 
Dhaka,Dhaka City,21,Mirpur-14 
Dhaka,Dhaka City,28,Mitford 
Dhaka,Dhaka City,18,Mogbazar 
Dhaka,Dhaka City,21,Mohakhali 
Dhaka,Dhaka City,1,Mohonpur 
Dhaka,Dhaka City,44,Mohammadpur 
Dhaka,Dhaka City,1,Motijeel 
Dhaka,Dhaka City,8,Mugda 
Dhaka,Dhaka City,1,Nawabpur 
Dhaka,Dhaka City,7,Nazirabazar 
Dhaka,Dhaka City,4,Nawabganj 
Dhaka,Dhaka City,9,Narinda 
Dhaka,Dhaka City,1,Nilkhet 
Dhaka,Dhaka City,6,Nakhalpara 
Dhaka,Dhaka City,7,Nayabazar 
Dhaka,Dhaka City,4,Neemtoli 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pallabi 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,3,Postogola 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,70,Rajarbagh 
Dhaka,Dhaka City,5,Rampura 
Dhaka,Dhaka City,5,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Raja Bazar 
Dhaka,Dhaka City,1,Rosulpur 
Dhaka,Dhaka City,1,Rupganj 
Dhaka,Dhaka City,2,Rayerbazar 
Dhaka,Dhaka City,4,Sabujbagh 
Dhaka,Dhaka City,3,Sadarghat 
Dhaka,Dhaka City,4,Sahjanpur 
Dhaka,Dhaka City,2,Sayedabad 
Dhaka,Dhaka City,1,Segunbagicha 
Dhaka,Dhaka City,1,Science Lab 
Dhaka,Dhaka City,2,Shah Ali Bagh 
Dhaka,Dhaka City,16,Shahbag 
Dhaka,Dhaka City,20,Shakharibazar 
Dhaka,Dhaka City,1,Shantibagh 
Dhaka,Dhaka City,1,Shampur 
Dhaka,Dhaka City,12,Shantinagar 
Dhaka,Dhaka City,9,Shaymoli 
Dhaka,Dhaka City,4,Shewrapara 
Dhaka,Dhaka City,1,Shekher Tek 
Dhaka,Dhaka City,3,Showari Ghat 
Dhaka,Dhaka City,4,Siddheshwari 
Dhaka,Dhaka City,4,Sonir akhra 
Dhaka,Dhaka City,12,Sutrapur 
Dhaka,Dhaka City,2,TatiBazar 
Dhaka,Dhaka City,10,Tikatoli 
Dhaka,Dhaka City,24,Tejgaon 
Dhaka,Dhaka City,1,Turag 
Dhaka,Dhaka City,1,Tezturi Bazar 
Dhaka,Dhaka City,19,Tolarbag 
Dhaka,Dhaka City,1,Urdu Road 
Dhaka,Dhaka City,25,Uttara 
Dhaka,Dhaka City,1,Vatara 
Dhaka,Dhaka City,30,Wari 
