division,district,cases,location
Dhaka,Dhaka (District) ,40,
Dhaka,Gazipur ,173,
Dhaka,Kishoreganj ,77,
Dhaka,Madaripur ,25,
Dhaka,Manikganj ,6,
Dhaka,Narayanganj ,386,
Dhaka,Munshigonj ,33,
Dhaka,Narshingdi ,105,
Dhaka,Rajbari ,7,
Dhaka,Faridpur ,4,
Dhaka,Tangail ,10,
Dhaka,Shariatpur ,7,
Dhaka,Gopalganj ,21,
Chattogram,Chattogram ,39,
Chattogram,Cox’s bazar ,1,
Chattogram,Cumilla ,19,
Chattogram,B. Baria ,11,
Chattogram,Laksmipur ,21,
Chattogram,Bandarban ,1,
Chattogram,Noakhali ,3,
Chattogram,Feni ,2,
Chattogram,Chandpur ,8,
Sylhet,Moulovi Bazar ,2,
Sylhet,Sunamganj ,1,
Sylhet,Hobiganj ,1,
Sylhet,Sylhet ,3,
Rangpur,Rangpur ,5,
Rangpur,Gaibandha ,12,
Rangpur,Nilphamari ,9,
Rangpur,Lalmonirhat ,2,
Rangpur,Kurigram ,2,
Rangpur,Dinajpur ,10,
Rangpur,Panchagar ,1,
Rangpur,Thakurgaon ,6,
Khulna,Khulna ,1,
Khulna,Jessore ,1,
Khulna,Bagerhat ,1,
Khulna,Narail ,2,
Khulna,Chuadanga ,1,
Mymensingh,Mymensingh ,21,
Mymensingh,Jamalpur ,20,
Mymensingh,Netrokona ,14,
Mymensingh,Sherpur ,11,
Barishal,Joypurhat ,2,
Barishal,Pabna ,2,
Barishal,Bogra ,1,
Barishal,Rajshahi ,4,
Dhaka,Dhaka City,5,Adabor 
Dhaka,Dhaka City,5,Agargaon 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,14,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,9,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,1,Banglamotor 
Dhaka,Dhaka City,27,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,18,Basabo 
Dhaka,Dhaka City,6,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,2,Cantonment 
Dhaka,Dhaka City,1,Central Road 
Dhaka,Dhaka City,8,Chankharpool 
Dhaka,Dhaka City,15,Chawk Bazar 
Dhaka,Dhaka City,1,Dhakkeshori 
Dhaka,Dhaka City,5,Demra 
Dhaka,Dhaka City,21,Dhanmondi 
Dhaka,Dhaka City,2,Dholaikhal 
Dhaka,Dhaka City,2,Doyaganj 
Dhaka,Dhaka City,1,Elephant Road 
Dhaka,Dhaka City,8,Eskaton 
Dhaka,Dhaka City,1,Faridabagh 
Dhaka,Dhaka City,1,Farmgate 
Dhaka,Dhaka City,19,Gendaria 
Dhaka,Dhaka City,1,Golartek 
Dhaka,Dhaka City,2,Goran 
Dhaka,Dhaka City,6,Gopibag 
Dhaka,Dhaka City,10,Green Road 
Dhaka,Dhaka City,4,Gulistan 
Dhaka,Dhaka City,14,Gulshan 
Dhaka,Dhaka City,1,Hatir jhil 
Dhaka,Dhaka City,3,Hatirpool 
Dhaka,Dhaka City,17,Hazaribagh 
Dhaka,Dhaka City,2,Islampur 
Dhaka,Dhaka City,2,Jailgate 
Dhaka,Dhaka City,30,Jatrabari 
Dhaka,Dhaka City,5,Jigatala 
Dhaka,Dhaka City,4,Jurain 
Dhaka,Dhaka City,2,Kallyanpur 
Dhaka,Dhaka City,4,Kalabagan 
Dhaka,Dhaka City,1,Kathalbagan 
Dhaka,Dhaka City,4,Kamrangir Char 
Dhaka,Dhaka City,3,Kazi para 
Dhaka,Dhaka City,2,Kawran Bazar 
Dhaka,Dhaka City,1,Kochukhet 
Dhaka,Dhaka City,2,Khilgaon 
Dhaka,Dhaka City,1,Khilkhet 
Dhaka,Dhaka City,1,Koltabazar 
Dhaka,Dhaka City,2,Kodomtoli 
Dhaka,Dhaka City,4,Kotowali 
Dhaka,Dhaka City,1,Kuril 
Dhaka,Dhaka City,31,Lalbagh 
Dhaka,Dhaka City,5,Laxmibazar 
Dhaka,Dhaka City,1,Malitola 
Dhaka,Dhaka City,4,Malibagh 
Dhaka,Dhaka City,2,Maniknagar 
Dhaka,Dhaka City,1,Manikdi 
Dhaka,Dhaka City,3,Matuail 
Dhaka,Dhaka City,2,Mirhajaribagh 
Dhaka,Dhaka City,11,Mirpur-1 
Dhaka,Dhaka City,3,Mirpur-6 
Dhaka,Dhaka City,7,Mirpur-10 
Dhaka,Dhaka City,13,Mirpur-11 
Dhaka,Dhaka City,11,Mirpur-12 
Dhaka,Dhaka City,2,Mirpur-13 
Dhaka,Dhaka City,8,Mirpur-14 
Dhaka,Dhaka City,28,Mitford 
Dhaka,Dhaka City,12,Mogbazar 
Dhaka,Dhaka City,14,Mohakhali 
Dhaka,Dhaka City,1,Mohonpur 
Dhaka,Dhaka City,36,Mohammadpur 
Dhaka,Dhaka City,1,Motijeel 
Dhaka,Dhaka City,4,Mugda 
Dhaka,Dhaka City,1,Nawabpur 
Dhaka,Dhaka City,2,Nawabganj 
Dhaka,Dhaka City,5,Narinda 
Dhaka,Dhaka City,6,Nakhalpara 
Dhaka,Dhaka City,7,Nayabazar 
Dhaka,Dhaka City,4,Neemtoli 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,13,Rajarbagh 
Dhaka,Dhaka City,4,Rampura 
Dhaka,Dhaka City,5,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Raja Bazar 
Dhaka,Dhaka City,2,Rayerbazar 
Dhaka,Dhaka City,3,Sabujbagh 
Dhaka,Dhaka City,2,Sadarghat 
Dhaka,Dhaka City,3,Sahjanpur 
Dhaka,Dhaka City,1,Sayedabad 
Dhaka,Dhaka City,0,Segunbagicha
Dhaka,Dhaka City,1,Science Lab 
Dhaka,Dhaka City,2,Shah Ali Bagh 
Dhaka,Dhaka City,10,Shahbag 
Dhaka,Dhaka City,13,Shakharibazar 
Dhaka,Dhaka City,1,Shantibagh 
Dhaka,Dhaka City,1,Shampur 
Dhaka,Dhaka City,10,Shantinagar 
Dhaka,Dhaka City,7,Shaymoli 
Dhaka,Dhaka City,4,Shewrapara 
Dhaka,Dhaka City,1,Shekher Tek 
Dhaka,Dhaka City,3,Showari Ghat 
Dhaka,Dhaka City,4,Siddheshwari 
Dhaka,Dhaka City,2,Sonir akhra 
Dhaka,Dhaka City,12,Sutrapur 
Dhaka,Dhaka City,1,TatiBazar 
Dhaka,Dhaka City,19,Tejgaon 
Dhaka,Dhaka City,1,Tezturi Bazar 
Dhaka,Dhaka City,19,Tolarbag 
Dhaka,Dhaka City,1,Urdu Road 
Dhaka,Dhaka City,23,Uttara 
Dhaka,Dhaka City,1,Vatara 
Dhaka,Dhaka City,29,Wari 
Dhaka,Dhaka City,974,Total
