division,district,cases,location
Dhaka,Dhaka (District) ,28,
Dhaka,Gazipur ,53,
Dhaka,Kishoreganj ,17,
Dhaka,Madaripur ,19,
Dhaka,Manikganj ,5,
Dhaka,Narayanganj ,164,
Dhaka,Munshigonj ,21,
Dhaka,Narshingdi ,28,
Dhaka,Rajbari ,6,
Dhaka,Faridpur ,2,
Dhaka,Tangail ,7,
Dhaka,Shariatpur ,5,
Dhaka,Gopalganj ,9,
Chattogram ,Chattogram ,20,
Chattogram ,Cox’s bazar ,1,
Chattogram ,Cumilla ,14,
Chattogram ,B. Baria ,8,
Chattogram ,Laksmipur ,1,
Chattogram ,Chandpur ,6,
Sylhet ,Moulovi Bazar ,2,
Sylhet ,Sunamganj ,1,
Sylhet ,Hobiganj ,2,
Sylhet ,Sylhet ,1,
Rangpur ,Rangpur ,2,
Rangpur ,Gaibandha ,8,
Rangpur ,Nilphamari ,4,
Rangpur ,Lalmonirhat ,1,
Rangpur ,Kurigram ,1,
Rangpur ,Thakurgaon ,3,
Khulna ,Khulna ,1,
Khulna ,Narail ,1,
Khulna ,Chuadanga ,1,
Mymensingh ,Mymensingh ,7,
Mymensingh ,Jamalpur ,9,
Mymensingh ,Netrokona ,2,
Mymensingh ,Sherpur ,3,
Barishal ,Barguna ,3,
Barishal ,Barishal ,7,
Barishal ,Potuakhali ,2,
Barishal ,Pirojpur ,1,
Barishal ,Jhalokathi ,3,
Rajshahi ,Rajshahi ,3,
Dhaka,Dhaka City ,456,Total
