division,district,cases,location
Dhaka,Dhaka (District) ,34,
Dhaka,Gazipur ,161,
Dhaka,Kishoreganj ,54,
Dhaka,Madaripur ,25,
Dhaka,Manikganj ,6,
Dhaka,Narayanganj ,309,
Dhaka,Munshigonj ,33,
Dhaka,Narshingdi ,93,
Dhaka,Rajbari ,7,
Dhaka,Faridpur ,4,
Dhaka,Tangail ,9,
Dhaka,Shariatpur ,7,
Dhaka,Gopalganj ,21,
Chattogram ,Chattogram ,38,
Chattogram ,Cox’s bazar ,1,
Chattogram ,Cumilla ,17,
Chattogram ,B. Baria ,10,
Chattogram ,Laksmipur ,18,
Chattogram ,Bandarban ,1,
Chattogram ,Noakhali ,3,
Chattogram ,Feni ,1,
Chattogram ,Chandpur ,8,
Sylhet ,Moulovi Bazar ,2,
Sylhet ,Sunamganj ,1,
Sylhet ,Hobiganj ,1,
Sylhet ,Sylhet ,3,
Rangpur ,Rangpur ,4,
Rangpur ,Gaibandha ,12,
Rangpur ,Nilphamari ,9,
Rangpur ,Lalmonirhat ,2,
Rangpur ,Kurigram ,2,
Rangpur ,Dinajpur ,9,
Rangpur ,Panchagar ,1,
Rangpur ,Thakurgaon ,5,
Khulna ,Khulna ,1,
Khulna ,Jessore ,1,
Khulna ,Bagerhat ,1,
Khulna ,Narail ,2,
Khulna ,Chuadanga ,1,
Mymensingh ,Mymensingh ,19,
Mymensingh ,Jamalpur ,17,
Mymensingh ,Netrokona ,12,
Mymensingh ,Sherpur ,11,
Barishal ,Barguna ,9,
Barishal ,Barishal ,18,
Barishal ,Potuakhali ,2,
Barishal ,Pirojpur ,4,
Barishal ,Jhalokathi ,3,
Rajshahi ,Joypurhat ,2,
Rajshahi ,Pabna ,1,
Rajshahi ,Bogra ,1,
Rajshahi ,Rajshahi ,4,
Dhaka,Dhaka City,5,Adabor 
Dhaka,Dhaka City,5,Agargaon 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,13,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,8,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,16,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,17,Basabo 
Dhaka,Dhaka City,6,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,1,Cantonment 
Dhaka,Dhaka City,1,Central Road 
Dhaka,Dhaka City,7,Chankharpool 
Dhaka,Dhaka City,12,Chawk Bazar 
Dhaka,Dhaka City,1,Dhakkeshori 
Dhaka,Dhaka City,3,Demra 
Dhaka,Dhaka City,21,Dhanmondi 
Dhaka,Dhaka City,1,Dholaikhal 
Dhaka,Dhaka City,1,Doyaganj 
Dhaka,Dhaka City,6,Eskaton 
Dhaka,Dhaka City,1,Faridabagh 
Dhaka,Dhaka City,1,Farmgate 
Dhaka,Dhaka City,16,Gendaria 
Dhaka,Dhaka City,1,Goran 
Dhaka,Dhaka City,3,Gopibag 
Dhaka,Dhaka City,10,Green Road 
Dhaka,Dhaka City,3,Gulistan 
Dhaka,Dhaka City,14,Gulshan 
Dhaka,Dhaka City,1,Hatir jhil 
Dhaka,Dhaka City,3,Hatirpool 
Dhaka,Dhaka City,16,Hazaribagh 
Dhaka,Dhaka City,2,Islampur 
Dhaka,Dhaka City,2,Jailgate 
Dhaka,Dhaka City,25,Jatrabari 
Dhaka,Dhaka City,5,Jigatala 
Dhaka,Dhaka City,3,Jurain 
Dhaka,Dhaka City,2,Kallyanpur 
Dhaka,Dhaka City,4,Kamrangir Char 
Dhaka,Dhaka City,3,Kazi para 
Dhaka,Dhaka City,1,Kawran Bazar 
Dhaka,Dhaka City,1,Kochukhet 
Dhaka,Dhaka City,2,Khilgaon 
Dhaka,Dhaka City,1,Khilkhet 
Dhaka,Dhaka City,1,Koltabazar 
Dhaka,Dhaka City,2,Kodomtoli 
Dhaka,Dhaka City,4,Kotowali 
Dhaka,Dhaka City,1,Kuril 
Dhaka,Dhaka City,23,Lalbagh 
Dhaka,Dhaka City,5,Laxmibazar 
Dhaka,Dhaka City,1,Malitola 
Dhaka,Dhaka City,4,Malibagh 
Dhaka,Dhaka City,1,Manikdi 
Dhaka,Dhaka City,1,Matuail 
Dhaka,Dhaka City,2,Mirhajaribagh 
Dhaka,Dhaka City,8,Mirpur-1 
Dhaka,Dhaka City,3,Mirpur-6 
Dhaka,Dhaka City,7,Mirpur-10 
Dhaka,Dhaka City,13,Mirpur-11 
Dhaka,Dhaka City,11,Mirpur-12 
Dhaka,Dhaka City,2,Mirpur-13 
Dhaka,Dhaka City,6,Mirpur-14 
Dhaka,Dhaka City,26,Mitford 
Dhaka,Dhaka City,11,Mogbazar 
Dhaka,Dhaka City,12,Mohakhali 
Dhaka,Dhaka City,1,Mohonpur 
Dhaka,Dhaka City,34,Mohammadpur 
Dhaka,Dhaka City,1,Motijeel 
Dhaka,Dhaka City,3,Mugda 
Dhaka,Dhaka City,1,Nawabpur 
Dhaka,Dhaka City,2,Nawabganj 
Dhaka,Dhaka City,3,Narinda 
Dhaka,Dhaka City,5,Nakhalpara 
Dhaka,Dhaka City,4,Neemtoli 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,13,Rajarbagh 
Dhaka,Dhaka City,4,Rampura 
Dhaka,Dhaka City,5,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Raja Bazar 
